,ID,Platform,Name,Description,Keywords,Licenses,Repository URL,Versions Count,Dependent Projects Count,Status,Dependent Repositories Count,Repository ID,Repository Host Type,Repository Name with Owner,Repository Description,Repository Fork?,Repository Stars Count,Repository License,Repository Status,Repository Keywords,Binding Host,Homepage URL,Homepage Domain,Binding Host Normalized,Binding Host Normalized - No Space,Host Repo IDs,is official,Type
3209,70095,PyPI,pylibnet,A python wrapper for the libnet packet injection library,"libnet,network,security",GPL-3.0,,1,0,,0,,,,,,,,,,libnet,http://pylibnet.sourceforge.net,sourceforge,libnet,libnet,['27234959'],community,Binding
3251,70236,PyPI,pyltp,pyltp: the python extension for LTP,,MIT,https://github.com/HIT-SCIR/pyltp,11,2,,25,291600,GitHub,HIT-SCIR/pyltp,pyltp: the python extension for LTP,True,1134.0,,,"chinese-nlp,python",LTP,https://github.com/HIT-SCIR/pyltp,github,ltp,ltp,['728477'],same_repo_owner,Binding
3266,70287,PyPI,pymallet,Mallet (natural language processing) wrapper in Python,,MIT,,2,0,,0,,,,,,,,,,Mallet,UNKNOWN,UNKNOWN,mallet,mallet,"['914914', '3132343']",community,Binding
3377,70768,PyPI,PyNEURON,"A Python package version of NEURON, for empirically-based simulations of neurons and networks of neurons",,Other,https://bitbucket.org/uric/pyneuron,9,0,,0,,,,,,,,,,NEURON,https://bitbucket.org/uric/pyneuron/,bitbucket,neuron,neuron,['3203039'],community,Binding
3547,72213,Rubygems,arena,Wrapper for Arena's API,,,,11,0,,5,,,,,,,,,,Arena,http://www.aredotna.com/,aredotna,arena,arena,['37026823'],community,Binding
4027,75889,PyPI,rpy,Python interface to the R language,,GPL-2.0+,,0,0,,8,,,,,,,,,,R,http://rpy.sourceforge.net,sourceforge,r,r,['4689246'],community,Binding
4028,75891,PyPI,rpy2,Python interface to the R language (embedded R),,GPL-2.0+,,87,5,,389,,,,,,,,,,R,https://rpy2.bitbucket.io,bitbucket,r,r,['4689246'],community,Binding
4134,76594,PyPI,sbl2py,A Snowball-to-Python compiler,snowball compiler,MIT,https://github.com/torfuspolymorphus/sbl2py,3,0,,0,293481,GitHub,torfsen/sbl2py,A Snowball-to-Python compiler,False,0.0,Other,,,Snowball,https://github.com/torfuspolymorphus/sbl2py,github,snowball,snowball,['22783638'],community,Binding
4165,77019,PyPI,sdcadmin,API wrapper for the SDC APIs on the admin network,,Apache-2.0,https://github.com/icclab/sdcadmin,2,0,,0,293618,GitHub,icclab/sdcadmin,wrapper for the SDC APIs on the admin network,False,3.0,Other,,,SDC,https://github.com/icclab/sdcadmin,github,sdc,sdc,['25352847'],community,Binding
4483,79862,PyPI,spyrk,Python module for Spark devices,spark cloud core arduino api embedded,LGPL-3.0,https://github.com/Alidron/spyrk,3,0,,10,294496,GitHub,Alidron/spyrk,Python module for Spark devices (see spark.io),False,32.0,LGPL-3.0,,,Spark,https://github.com/Alidron/spyrk,github,spark,spark,"['11846538', '27909023', '38722051']",community,Binding
4615,81415,Rubygems,autobahn,Enterprise Ruby on Rails,,,https://github.com/veridit/autobahn,4,0,,1,294908,GitHub,veridit/autobahn,Enterprise Ruby on Rails,False,1.0,,,,Enterprise,http://www.github.com/veridit/autobahn,github,enterprise,enterprise,['37665991'],community,Binding
4625,81509,PyPI,synth,A Python binding to the Synth C++ Template Framework,"django,tmpl,ssi,template,framework",MirOS,https://github.com/ajg/synth,6,0,,1,294938,GitHub,ajg/synth,A Powerful C++ Templating Framework,False,63.0,BSL-1.0,,,Synth,https://github.com/ajg/synth,github,synth,synth,['21077031'],community,Binding
4734,82331,PyPI,tesserpy,Python interface to the Tesseract library,"tesseract,ocr",LGPL-2.0,https://github.com/blindsightcorp/tesserpy,3,0,,0,295174,GitHub,amazon-archives/tesserpy,ARCHIVED: A Python API for Tesseract,False,19.0,LGPL-2.1,,,Tesseract,https://github.com/blindsightcorp/tesserpy,github,tesseract,tesseract,['852560'],community,Binding
4736,82334,PyPI,tesserwrap,Basic python bindings to the Tesseract C++ API,tesseract ocr cpp,Apache-2.0,https://github.com/gregjurman/tesserwrap,11,0,,10,295175,GitHub,gregjurman/tesserwrap,Python bindings to the Tesseract API,False,63.0,Other,,,Tesseract,https://github.com/gregjurman/tesserwrap,github,tesseract,tesseract,['852560'],community,Binding
4748,82475,Packagist,jadb/alchemyapi,Natural Language Processing using AlchemyAPI,"alchemy,nlp,alchemyapi,natural language process",MIT,https://github.com/jadb/php-alchemyapi,1,0,,0,59296,GitHub,jadb/php-alchemyapi,AlchemyAPI PHP SDK,False,0.0,MIT,,,Alchemy,,,alchemy,alchemy,"['13491787', '40396672']",community,Binding
4807,82925,PyPI,TiffCapture,Brings the power of OpenCV to TIFF videos; provides interface to multi-part TIFFs compatible with OpenCV's VideoCapture.,tiff,Other,https://github.com/cdw/TiffCapture,6,0,,0,295325,GitHub,cdw/TiffCapture,"Provides a PIL based capture interface to multi-part tiffs, allowing them to be used more easily with OpenCV. ",False,2.0,MIT,,,OpenCV,https://github.com/cdw/TiffCapture,github,opencv,opencv,"['851991', '852587', '8250162']",community,Binding
4814,82974,PyPI,timecop,python port of Ruby's TimeCop gem,timecop time travel ruby test context,Other,https://github.com/bluekelp/pytimecop,1,0,,7,295341,GitHub,bluekelp/pytimecop,A port of the most excellent TimeCop Ruby Gem for Python,False,18.0,,,,TimeCop,https://github.com/bluekelp/pytimecop,github,timecop,timecop,['38892330'],community,Binding
4873,83505,Rubygems,avod,avod cloud client,,MIT,https://github.com/oa414/avod-ruby,1,0,,0,295518,GitHub,oa414/avod-ruby,,False,0.0,MIT,,,avod,https://github.com/oa414/avod-ruby,github,avod,avod,['33779877'],community,Binding
5016,84700,PyPI,twitsilver,A Quicksilver client for twitter,Quicksilver twitter OSX,BSD-3-Clause,https://github.com/tomster/twitsilver,14,0,,0,295821,GitHub,tomster/twitsilver,A Quicksilver twitter client,False,2.0,,,,Quicksilver,http://github.com/tomster/twitsilver/,github,quicksilver,quicksilver,['23871650'],community,Binding
5640,88408,Rubygems,bantic-ruby-opencv,OpenCV wrapper for Ruby.,,BSD-3-Clause,https://github.com/adamb/ruby-opencv,1,0,,0,287004,GitHub,adamb/ruby-opencv,Versioned fork of the OpenCV gem for Ruby,True,5.0,BSD-3-Clause,,,OpenCV,http://github.com/adamb/ruby-opencv,github,opencv,opencv,"['851991', '852587', '8250162']",community,Binding
6414,93438,Packagist,mango/mango-php,Mango API client for PHP,"api,mango",MIT,https://github.com/Mango/mango-php,3,0,,0,64113,GitHub,Mango/mango-php,This is a PHP library that allows interaction with Mango API,False,5.0,,,,Mango,https://developers.getmango.com/en/api/?platform=php,getmango,mango,mango,['19555071'],community,Binding
7352,100586,Packagist,orbisnull/deltacore,"Delta PHP framework - fast, light, easy (core)",,GPL-3.0+,https://github.com/orbisnull/DeltaCore,3,0,,0,50161,GitHub,DeltaPHP/DeltaCore,"Delta PHP framework - fast, light, easy",False,2.0,,,,Delta,,,delta,delta,"['38810725', '39651144']",community,Binding
7527,102042,Packagist,philmprice/block-host,Host for 'Blocks' Platform,,MIT,https://github.com/philmprice/block-host,0,0,,5,71001,GitHub,philmprice/block-host,"Host for 'Blocks' system. Bootstraps all other blocks, auto-scaffolds project files, and routes request.",False,0.0,,,,Blocks,,,blocks,blocks,['28422352'],community,Binding
7707,103323,Packagist,predictionio/predictionio-bundle,Symfony2 Bundle for PredictionIO PHP SDK,predictionio,,https://github.com/dantudor/PredictionIOBundle,1,0,,0,72177,GitHub,dantudor/PredictionIOBundle,,False,1.0,,Removed,,PredictionIO,,,predictionio,predictionio,['573443'],community,Binding
7708,103324,Packagist,predictionio/predictionio,Apache PredictionIO API PHP Client,"rest,web service,restful,recommendation,predictionio,prediction",Apache-2.0,https://github.com/apache/predictionio-sdk-php,14,7,,29,72178,GitHub,apache/predictionio-sdk-php,PredictionIO PHP SDK,False,260.0,Apache-2.0,,,PredictionIO,,,predictionio,predictionio,['573443'],same_repo_owner,Binding
8231,107148,Packagist,seeruk/hal,PHP Implementation of the HAL Specification for PHP >= 5.5 and HHVM >= 3.2,,MIT,https://github.com/SeerUK/hal,1,0,,0,75742,GitHub,seeruk/hal,PHP Implementation of the HAL Specification for PHP >= 5.5 and HHVM >= 3.2,False,0.0,MIT,,,HAL,,,hal,hal,['4824482'],community,Binding
8339,107805,Packagist,silverstripe/alchemiser,An integration with AlchemyAPI.,"seo,silverstripe,alchemy",BSD-3-Clause,https://github.com/nyeholt/silverstripe-alchemiser,0,0,,0,76330,GitHub,nyeholt/silverstripe-alchemiser,A module that uses the Alchemy API to provide additional document metadata,False,4.0,BSD-3-Clause,,,Alchemy,,,alchemy,alchemy,"['13491787', '40396672']",community,Binding
8429,108707,Packagist,snapt/snapr-php-client,Snapr PHP 5.3+ PHP REST client,"rest,api,snapt,Snapr",BSD-3-Clause,https://github.com/Snapt/snapr-php-client,1,0,,0,77145,GitHub,Snapt/snapr-php-client,PHP Client for Snapt/snapr REST API,False,1.0,BSD-3-Clause,,,Snapr,,,snapr,snapr,['12356510'],community,Binding
8505,109190,Packagist,sparkapi/sparkapi,PHP wrapper for the Spark REST API,"spark,sparkapi",GPL-3.0,https://github.com/sparkapi/sparkapi4p2,0,0,,1,77606,GitHub,sparkapi/sparkapi4p2,A PHP wrapper for the flexmls REST API.,False,21.0,GPL-3.0,,,Spark,,,spark,spark,"['11846538', '27909023', '38722051']",community,Binding
8875,112281,Packagist,toolbox/core,Toolbox Core Package,,MIT,https://github.com/phptoolbox/core,0,0,,2,80525,GitHub,phptoolbox/core,PHP Toolbox Core Package,False,0.0,,,,Toolbox,,,toolbox,toolbox,['8342728'],community,Binding
8967,112925,Packagist,typo3/aloha,A packaged version of Aloha for TYPO3 Neos.,,,https://git.typo3.org/Packages/TYPO3.Aloha.git,1,1,,1,,,,,,,,,,Aloha,,,aloha,aloha,['1136965'],community,Binding
9316,115537,Packagist,willdurand/nmap,"nmap is a PHP wrapper for Nmap, a free security scanner for network exploration.",,MIT,https://github.com/willdurand/nmap,7,0,,5,83356,GitHub,willdurand/nmap,nmap is a PHP wrapper for Nmap.,False,102.0,MIT,,,Nmap,,,nmap,nmap,['852438'],community,Binding
9627,117653,Packagist,zircote/hal,A PHP implementation of HAL http://stateless.co/hal_specification.html,"json,api,hal,HATEOAS",Apache-2.0,https://github.com/zircote/Hal,7,3,,10,85300,GitHub,zircote/Hal,A PHP implementation of HAL http://stateless.co/hal_specification.html,False,99.0,Apache-2.0,,,HAL,,,hal,hal,['4824482'],community,Binding
9673,118045,Hackage,CV,"This is a machine vision package that wraps some functionality of OpenCV library. This package has been developed for personal use and is not meant to be a complete wrapper. It also includes some things not in OpenCV.   Currently this package is quite dirty and requires much work on documentation and code clean-up, but is somewhat tested.   (The scarce) Documentation is available at http://aleator.github.com/CV/   Changelog. 0.3.6.0 - Critical referential transparency bug fix.   0.3.5.4 - Bug fixes and preliminary compatability with opencv 2.4   0.3.5 - Many new wrappers, clean ups and other fixes.   0.3.4 - Pixelwise operations, bug fixes and additional documentation   0.3.3.0 - Improvements, including compatablity with opencv 2.3.1 and removal of dependency with deprecated JYU.Utils   Changelog. 0.3.2.0 - Improvements, including fancier pixel-wise manipulations   Changelog. 0.3.0.2 - Workaround for compiling with OS X 10.6 & fixed errors about M_PI ","ai,gpl,graphics,library,machine-vision,Propose Tags ,CV.Arbitrary,CV.Binary,CV.Bindings.Types,CV.Calibration,CV.ColourUtils,CV.ConnectedComponents,CV.Conversions,CV.Corners,CV.DFT,CV.DrawableInstances,CV.Drawing,CV.Edges,CV.Features,CV.Files,CV.Filters,CV.Fitting,CV.FunnyStatistics,CV.Gabor,CV.HighGUI,CV.Histogram,CV.HoughTransform,CV.Image,CV.ImageMath,CV.ImageMathOp,CV.ImageOp,CV.Iterators,CV.LightBalance,CV.Marking,CV.Matrix,CV.Morphology,CV.MultiresolutionSpline,CV.Operations,CV.Pixelwise,CV.Projection,CV.Sampling,CV.TemplateMatching,CV.Textures,CV.Thresholding,CV.Tracking,CV.Transforms,CV.Video,Utils.DrawingClass,Utils.Function,Utils.GeometryClass,Utils.List,Utils.Point,Utils.Pointer,Utils.Rectangle,Utils.Stream",GPL-2.0+,https://github.com/aleator/CV,12,0,,0,,,,,,,,,,OpenCV,http://aleator.github.com/CV/,github,opencv,opencv,"['851991', '852587', '8250162']",community,Binding
9723,118327,Hackage,HROOT,HROOT is a haskell Foreign Function Interface (FFI) binding to ROOT. ROOT(http:root.cern.ch) is an object-oriented program and library developed by CERN for physics data analysis. ,"graphics,lgpl,library,math,numerical,statistics,Propose Tags ",LGPL-2.1,,21,0,,0,,,,,,,,,,ROOT,http://ianwookim.org/HROOT,ianwookim,root,root,['1975658'],community,Binding
9724,118328,Hackage,HROOT-graf,HROOT is a haskell Foreign Function Interface (FFI) binding to ROOT. ROOT(http:root.cern.ch) is an object-oriented program and library developed by CERN for physics data analysis. ,"graphics,lgpl,library,math,numerical,statistics,Propose Tags ",LGPL-2.1,,3,0,,0,,,,,,,,,,ROOT,http://ianwookim.org/HROOT,ianwookim,root,root,['1975658'],community,Binding
9725,118329,Hackage,HROOT-core,HROOT is a haskell Foreign Function Interface (FFI) binding to ROOT. ROOT(http:root.cern.ch) is an object-oriented program and library developed by CERN for physics data analysis. ,"graphics,lgpl,library,math,numerical,statistics,Propose Tags ",LGPL-2.1,,3,0,,0,,,,,,,,,,ROOT,http://ianwookim.org/HROOT,ianwookim,root,root,['1975658'],community,Binding
9726,118330,Hackage,HROOT-hist,HROOT is a haskell Foreign Function Interface (FFI) binding to ROOT. ROOT(http:root.cern.ch) is an object-oriented program and library developed by CERN for physics data analysis. ,"graphics,lgpl,library,math,numerical,statistics,Propose Tags ",LGPL-2.1,,3,0,,0,,,,,,,,,,ROOT,http://ianwookim.org/HROOT,ianwookim,root,root,['1975658'],community,Binding
9727,118331,Hackage,HROOT-io,HROOT is a haskell Foreign Function Interface (FFI) binding to ROOT. ROOT(http:root.cern.ch) is an object-oriented program and library developed by CERN for physics data analysis. ,"graphics,lgpl,library,math,numerical,statistics,Propose Tags ",LGPL-2.1,,3,0,,0,,,,,,,,,,ROOT,http://ianwookim.org/HROOT,ianwookim,root,root,['1975658'],community,Binding
9728,118333,Hackage,HROOT-math,HROOT is a haskell Foreign Function Interface (FFI) binding to ROOT. ROOT(http:root.cern.ch) is an object-oriented program and library developed by CERN for physics data analysis. ,"graphics,lgpl,library,math,numerical,statistics,Propose Tags ",LGPL-2.1,,3,0,,0,,,,,,,,,,ROOT,http://ianwookim.org/HROOT,ianwookim,root,root,['1975658'],community,Binding
9738,118361,Hackage,HaVSA,"HaVSA (Have-Saa) is a Haskell implementation of the Version Space Algebra Machine Learning technique described by Tessa Lau.  The canonical description is in:   Tessa Lau, Steven Wolfman, Pedro Domingos, and Daniel S. Weld, Programming by Demonstration using Version Space Algebra, Machine Learning, 2003. (http:tlau.orgresearchpapers/mlj01-draft.pdf) ","ai,bsd3,library,program,Propose Tags ,AI.VersionSpaces",BSD-3-Clause,https://github.com/creswick/HaVSA,3,0,,0,8769,GitHub,creswick/HaVSA,HaVSA (Have-Saa) is a Haskell implementation of the Version Space Algebra Machine Learning technique described by Tessa Lau.,False,5.0,BSD-3-Clause,,,HaVSA,,,havsa,havsa,['8769'],same_repo,Binding
10103,121174,Hackage,hakyll-elm,A wrapper for compiling Elm (http://elm-lang.org) programs to html/javascript in a Hakyll project.   Currently supports single-module programs that only import from an Elm runtime that's manually included. ,"bsd3,library,web,Propose Tags ,Hakyll.Web.Elm",BSD-3-Clause,https://github.com/maxsnew/hakyll-elm,3,0,,0,7936,GitHub,maxsnew/hakyll-elm,Hakyll wrapper for the Elm (http://elm-lang.org) compiler,False,8.0,BSD-3-Clause,,,Elm,https://github.com/maxsnew/hakyll-elm,github,elm,elm,"['186221', '16190324']",community,Binding
10496,124236,Hackage,snowball,"The Snowball library is used to compute the stems of words in natural languages.   Compared to the older stemmer package, this one:    Correctly handles unicode without relying on the system locale    Takes greater care to avoid memory leaks and to be thread safe    Uses Text rather than String    Gets rid of the need for stemWords by using rewrite rules to make map stem efficient    Includes a more recent release of Snowball    Attempts to comply with the Snowball licensing terms    Supports SafeHaskell when available and is otherwise Haskell2010    Comes with a test suite   However, although this code is written from scratch, it is heavily modeled after the code of the ""stemmer"" package. ","benchmark,bsd3,library,natural-language-processing,text,Propose Tags ,NLP.Snowball",BSD-3-Clause,,5,0,,0,,,,,,,,,,Snowball,http://hub.darcs.net/dag/snowball,darcs,snowball,snowball,['22783638'],community,Binding
10635,125513,Cargo,alink-sys,FFI bindings to alink. This crate is a placeholder for the future. If you are interested in this library feel free to get in touch with me: http://www.rustaceans.org/retep998,"ffi,winsdk,windows",MIT,https://github.com/retep998/winapi-rs,1,0,,0,4965,GitHub,retep998/winapi-rs,Rust bindings to Windows API,False,705.0,Other,,"ffi,rust,winapi,windows",alink,https://crates.io/crates/winapi,crates,alink,alink,['40135681'],community,Binding
11128,127116,npm,alchemy_mini,A simple alchemy api. See example.js,nlp,ISC,https://github.com/AlchemyAPI/alchemyapi_node,2,1,,0,86542,GitHub,AlchemyAPI/alchemyapi_node,A sdk for AlchemyAPI in Javascript - Please note that this legacy AlchemyAPI SDK is no longer supported by IBM. Please use the Watson SDKs https://github.com/watson-developer-cloud?utf8=✓&query=sdk,True,71.0,Apache-2.0,,,alchemy,https://github.com/AlchemyAPI/alchemyapi_node,github,alchemy,alchemy,"['13491787', '40396672']",community,Binding
11129,127117,npm,alchemy-api,An Alchemy API library for Node.js,,MIT,https://github.com/framingeinstein/node-alchemy,21,12,,130,86543,GitHub,framingeinstein/node-alchemy,An Alchemy API library for Node.JS,False,55.0,MIT,,,Alchemy,https://github.com/framingeinstein/node-alchemy,github,alchemy,alchemy,"['13491787', '40396672']",community,Binding
11195,127834,npm,angular-hal,Hal client for angularjs,,WTFPL,https://github.com/LuvDaSun/angular-hal,17,0,,3,48494,GitHub,LuvDaSun/angular-hal,HAL client for angularjs,False,121.0,WTFPL,,,Hal,http://angular-hal.io,angular-hal,hal,hal,['4824482'],community,Binding
11258,128256,npm,anytv-node-logger,express winston wrapper,"express,winston,logger,wrapper",ISC,https://github.com/anyTV/anytv-node-logger,5,1,,5,87162,GitHub,anyTV/anytv-node-logger,,False,0.0,MIT,,,winston,https://github.com/anyTV/anytv-node-logger,github,winston,winston,['72007'],community,Binding
11329,128788,npm,argo-resource,A resource API framework for Argo.,"argo,resource,rest,framework,api",MIT,,13,2,,6,,,,,,,,,,Argo,,,argo,argo,['27681670'],community,Binding
11540,131115,npm,bender-api,API for Bender,,MIT,https://github.com/vigour-io/bender-api,8,2,,1,89063,GitHub,vigour-io/bender-api,API wrapper for Bender,False,0.0,MIT,Removed,,Bender,https://github.com/vigour-io/bender-api,github,bender,bender,['24853620'],community,Binding
12302,139912,npm,cv,OpenCV for Node.js,"opencv,cv,computer,vision",MIT,https://github.com/carter-thaxton/cv,3,0,,3,94482,GitHub,carter-thaxton/cv,OpenCV for Node.js,False,6.0,,,,OpenCV,,,opencv,opencv,"['851991', '852587', '8250162']",community,Binding
12331,140405,npm,das,Node module for interfacing with DAS (Data Automation Services) API,,MIT,,2,1,,1,,,,,,,,,,DAS,,,das,das,['40364900'],community,Binding
12834,146630,npm,eyed3,A wrapper for ID3 manipulation using eyeD3,"id3,mp3,artist,title,manipulation,eyed3,id3v2",MIT,https://github.com/saschagehlich/node-eyed3,1,3,,8,98971,GitHub,saschagehlich/node-eyed3,A wrapper for reading and updating ID3 meta data of (e.g.) MP3 files using eyeD3,False,5.0,MIT,,,ID3,,,id3,id3,['4932403'],community,Binding
12857,146721,npm,facesort,This is a short script using the [NodeJS OpenCV bindings](https://github.com/peterbraden/node-opencv) to detect faces on images and sort them accordingly.,,MIT,https://github.com/pwaldhauer/facesort,1,2,,0,99026,GitHub,pwaldhauer/facesort,Sorts images with faces. ,False,3.0,,,,OpenCV,,,opencv,opencv,"['851991', '852587', '8250162']",community,Binding
12877,146926,npm,farmer-client,Farmer client API for node.js,,MIT,https://github.com/penpen/farmer-node-client,1,1,,0,,,,,,,,,,Farmer,https://github.com/penpen/farmer-node-client,github,farmer,farmer,['41230434'],community,Binding
12950,147769,npm,finn-js-code-style,Config files for FINN JavaScript style,,MIT,https://github.com/finn-no/js-code-style,19,5,,7,99693,GitHub,finn-no/js-code-style,FINN.no's config files and a CLI to check JavaScript code style,False,1.0,,,platform-frontend,FINN,https://github.com/finn-no/js-code-style,github,finn,finn,"['29439777', '37265665']",community,Binding
12990,148430,npm,flow-bin,Binary wrapper for Flow - A static type checker for JavaScript,"cli-app,cli,bin,binary,flow,facebook,type,inference,check,checker,javascript,js,wrapper",MIT,https://github.com/flowtype/flow-bin,154,12316,,27635,100041,GitHub,flowtype/flow-bin,Binary wrapper for Flow - A static type checker for JavaScript,False,507.0,Other,,,Flow,https://github.com/flowtype/flow-bin,github,flow,flow,"['12755978', '29309986']",community,Binding
13118,149776,npm,gamepad,node bindings to the Gamepad library,"gamepad,joystick",MIT,https://github.com/creationix/node-gamepad,16,11,,28,100955,GitHub,creationix/node-gamepad,node.js bindings for Alex Diener's cross-platform gamepad code,False,54.0,MIT,,,Gamepad,https://github.com/creationix/node-gamepad,github,gamepad,gamepad,['38470828'],community,Binding
13508,156130,npm,halibut,HAL JavaScript client for browser and nodejs,,Apache-2.0,https://github.com/mnichols/halibut,14,3,,1,4265800,GitHub,mnichols/halibut,HAL JS client for browser and nodejs,True,0.0,Apache-2.0,Removed,,HAL,https://github.com/mnichols/halibut,github,hal,hal,['4824482'],community,Binding
13618,157597,npm,horatio,A javascript compiler for the Shakespeare Programming Language,"shakespeare,shakespearelang",MIT,https://github.com/mileszim/horatio,3,2,,0,106756,GitHub,mileszim/horatio,A javascript compiler for the Shakespeare Programming Language,False,3.0,Other,,,Shakespeare,https://github.com/mileszim/horatio,github,shakespeare,shakespeare,['8855558'],community,Binding
13899,161192,npm,javascript-log,"Wrapper around winston, tunable like debug()",,Other,,2,2,,0,,,,,,,,,,winston,,,winston,winston,['72007'],community,Binding
