id,answer_start,answer,context,question,answer_end,is binding
2508957,-1,,The Dolphin Platform is a framework that implements the presentation model pattern and provides amodern way to create enterprise applications. The Platform provides several client implementations that all canbe used in combination with a general sever API.,What is the source library of this binding?,-1,False
65668,-1,,The Polybius Square Encipher/Decipher,What is the source library of this binding?,-1,False
2625851,-1,,Cockroach,What is the source library of this binding?,-1,False
3313341,-1,,A simple cli tool to download mangas scan from the internet scan provider to your local file system,What is the source library of this binding?,-1,False
3921264,-1,,Curio Model for Catalyst.,What is the source library of this binding?,-1,False
2753962,0,Duke,Duke python utilities,What is the source library of this binding?,4,True
228954,26,NIS,Provides an interface for NIS(YP) API.,What is the source library of this binding?,29,True
999344,-1,,Operating System utilities,What is the source library of this binding?,-1,False
3440824,-1,,ByteStream is a library making possibe to manipulates single bytes and bits on pure JavaScript,What is the source library of this binding?,-1,False
2600545,-1,,This bundle registers different test registry as OSGi service.,What is the source library of this binding?,-1,False
2355292,-1,,"Trust, but Verify",What is the source library of this binding?,-1,False
1185934,-1,,Open Source Enterprise Integration Platform,What is the source library of this binding?,-1,False
280655,-1,,Simple (fab) app to respond to Accept HTTP headers,What is the source library of this binding?,-1,False
680046,-1,,"Capture and process the screen, window or rectangle",What is the source library of this binding?,-1,False
4260078,-1,,KEyWord PIckEr with tf-idf,What is the source library of this binding?,-1,False
1733519,-1,,Bootstrap Admin Template v4,What is the source library of this binding?,-1,False
392092,-1,,jclouds components to access an implementation of Security Token Service (STS),What is the source library of this binding?,-1,False
822242,-1,,WebJar for mkdirp,What is the source library of this binding?,-1,False
64084,-1,,"This tiny plugin allows you to embed online video from YouTube, Vimeo and more media for a responsive layout - they scale according to the screen size.",What is the source library of this binding?,-1,False
291453,-1,,jQuery plugin for handling selections,What is the source library of this binding?,-1,False
30060,-1,,Tiny milisecond conversion utility.,What is the source library of this binding?,-1,False
4594283,-1,,Flutter Widget that make it easy to implement custom refresh indicator.,What is the source library of this binding?,-1,False
4107839,-1,,Firebase cache for Django,What is the source library of this binding?,-1,False
33551,24,BLLIP,Python bindings for the BLLIP natural language parser,What is the source library of this binding?,29,True
624343,0,OpenCV,OpenCV wrapper for .NET Framework Use https://www.nuget.org/packages/OpenCvSharp3-AnyCPU/ instead,What is the source library of this binding?,6,True
1107164,-1,,Knockout validation framework. Do one thing. Do it Well.,What is the source library of this binding?,-1,False
3445922,-1,,Miscellaneous Bézier curve algorithms,What is the source library of this binding?,-1,False
4215940,-1,,Compressed Continuous Computation Library in Python,What is the source library of this binding?,-1,False
682388,-1,,Perl module to rotate logfiles.,What is the source library of this binding?,-1,False
676345,-1,,This tool migrates your RT2 instance to an RT 3.x instance,What is the source library of this binding?,-1,False
4301704,-1,,Flutter Plugin Ad Network AppLovin,What is the source library of this binding?,-1,False
2663404,-1,,The VHDL implementation of the moore compiler framework.,What is the source library of this binding?,-1,False
1691666,42,CCBottomRefreshControl,This is a Xamarin.iOS binding of Vlasov's CCBottomRefreshControl. This package also contains Masonry code so be sure to comply with both projects' licenses accordingly.          How to use this binding:          using CCBottomRefreshControl;         ...         var bottomRefreshControl = new UIRefreshControl();         TableView.SetBottomRefreshControl(bottomRefreshControl);          Masonry is included because i could not get CCBRC to work referencing Masonry as a static library.  DO NOT post issues on Vlasov's github project unless you are absolutely sure it's in the ObjC code.,What is the source library of this binding?,64,True
2728073,-1,,Use your GoogleFit to gather activity information.,What is the source library of this binding?,-1,False
2313317,-1,,Fabia Biclustering Algorithm,What is the source library of this binding?,-1,False
3646009,-1,,GenderPrediction.Turkish is a library that provides prediction of gender from Turkish names built on ML.NET Both training,What is the source library of this binding?,-1,False
1075413,0,Bandit Lab,Bandit Lab API Client for Node,What is the source library of this binding?,10,True
4371226,28,Redux,Official React bindings for Redux,What is the source library of this binding?,33,True
799420,-1,,Quickly get up and running with testng-selenium.,What is the source library of this binding?,-1,False
4563069,-1,,A library to tes the CI/CD with npm on Gitlab.,What is the source library of this binding?,-1,False
4128109,-1,,Gym Breakout environment using Pygame,What is the source library of this binding?,-1,False
1697762,-1,,High performance implementation of GBDT family of algorithm,What is the source library of this binding?,-1,False
2683219,-1,,First version of Machine Learning Interpretation tool by SIngulariti,What is the source library of this binding?,-1,False
3157061,-1,,GammaCV is a WebGL accelerated Computer Vision library for browser,What is the source library of this binding?,-1,False
4101375,-1,,Simple progress monitor for any programs,What is the source library of this binding?,-1,False
843318,-1,,run pagerank algorithm on npm metadata to discover the most popular module,What is the source library of this binding?,-1,False
2718774,-1,,Multiple Imputation with Sequential Penalized Regression,What is the source library of this binding?,-1,False
2448561,-1,,Mackerel plugin helper library,What is the source library of this binding?,-1,False
1052840,-1,,Promise for Swift 2.0 which has no dependencies and fits into one file.,What is the source library of this binding?,-1,False
351402,-1,,Description for the annsor.jar project.,What is the source library of this binding?,-1,False
3640876,-1,,OAuth 2 Client Provider for The PHP League OAuth2-Client,What is the source library of this binding?,-1,False
624067,21,Twitter Bootstrap 3,Knockout bindings to Twitter Bootstrap 3,What is the source library of this binding?,40,True
3646697,-1,,Library that allows to generate unique Ids.,What is the source library of this binding?,-1,False
3220997,-1,,Provides generated HTML data for Rails applications,What is the source library of this binding?,-1,False
2259568,-1,,Synaptic's neural network compiler,What is the source library of this binding?,-1,False
3137863,33,TensorFlow,Parent POM for the artifacts for TensorFlow for Java,What is the source library of this binding?,43,True
4687192,-1,,Sequence to Sequence Learning with PyTorch,What is the source library of this binding?,-1,False
4143038,-1,,Miscellaneous TensorFlow 2 Keras layers,What is the source library of this binding?,-1,False
2523033,16,mulang,Gem wrapper for mulang tool,What is the source library of this binding?,22,True
2582917,-1,,Machine learning support for vaex,What is the source library of this binding?,-1,False
1156495,-1,,GPU accelerated BLAS for node and the browser,What is the source library of this binding?,-1,False
662895,-1,,bcrypt your passwords!,What is the source library of this binding?,-1,False
2644973,-1,,Conversion function from RGB to XY for Hue lights,What is the source library of this binding?,-1,False
2170873,-1,,Github-flavoured tables,What is the source library of this binding?,-1,False
3995746,-1,,lang_table is a dart plugin to generate string files from a source. Use a table to manage all multi-language resources.,What is the source library of this binding?,-1,False
4718797,-1,,EENDER(End-to-End Neural Diariazation) - Inference Tool with Pre-trained Model,What is the source library of this binding?,-1,False
3289537,0,Pytorch,Pytorch wrapper for fast prototyping,What is the source library of this binding?,7,True
119206,-1,,API docs and the README are available at http://www.stackage.org/package/auto-update.,What is the source library of this binding?,-1,False
2439286,-1,,A Lightweight & Flexible Deep Learning (Neural Network) Framework in Python,What is the source library of this binding?,-1,False
2924833,-1,,upload public service for whd h5,What is the source library of this binding?,-1,False
3803433,-1,,Standard International Atmosphere Calculator,What is the source library of this binding?,-1,False
2845123,-1,,A sample command-line application.,What is the source library of this binding?,-1,False
1068853,-1,,Bridge to use the octaui crud together with the Pingpong Modules,What is the source library of this binding?,-1,False
2664857,-1,,DataFire integration for SubscriptionDefinitionsClient,What is the source library of this binding?,-1,False
231550,22,OpenNLP," Ruby bindings to the OpenNLP tools, a Java machine learning toolkit for natural language processing (NLP). ",What is the source library of this binding?,29,True
3851719,-1,,PyTorch extensions for fast R&D prototyping and Kaggle farming,What is the source library of this binding?,-1,False
720275,-1,,Converts from markup language to document formats.,What is the source library of this binding?,-1,False
1418245,-1,,cuting roundCorner without offscreen render.,What is the source library of this binding?,-1,False
4769796,-1,,A Javascript Syft worker in the browser,What is the source library of this binding?,-1,False
2290364,-1,,Kindle Clipping Extractor,What is the source library of this binding?,-1,False
2197832,-1,,Bayesian Optimization tools in Python,What is the source library of this binding?,-1,False
1539011,-1,,Succinct data structures for Rust,What is the source library of this binding?,-1,False
3863087,-1,,Fast and Robust Deconvolution of Tumor Infiltrating Lymphocyte from Expression Profiles using Least Trimmed Squares,What is the source library of this binding?,-1,False
2321505,-1,,Ghost Growth,What is the source library of this binding?,-1,False
2226393,-1,,A Python Library for NanoPlayBoard Firmata,What is the source library of this binding?,-1,False
2312083,-1,,NodeBB Mixer.com Login,What is the source library of this binding?,-1,False
812694,37,Hiredis,The package provides an interface to Hiredis.,What is the source library of this binding?,44,True
2603279,-1,,Sparkling Water Examples,What is the source library of this binding?,-1,False
4219460,-1,,Lorem Ipsum is simply dummy text of the printing and typesetting industry.,What is the source library of this binding?,-1,False
89550,0,KISSmetrics,"KISSmetrics API - PHP, Python",What is the source library of this binding?,11,True
2132113,29,Chain Core,The Official Node.js SDK for Chain Core,What is the source library of this binding?,39,True
3113805,-1,,ONOS UI Table-View overlay archetype,What is the source library of this binding?,-1,False
2394909,-1,,feets: feATURE eXTRACTOR FOR tIME sERIES.,What is the source library of this binding?,-1,False
987538,-1,,Script for merge all feature branches into one for create a new release with all feature changes,What is the source library of this binding?,-1,False
3764813,-1,,Commandline tools for training Fathom rulesets,What is the source library of this binding?,-1,False
1400709,19,BIMserver,JavaScript API for BIMserver,What is the source library of this binding?,28,True
2605852,-1,,"Empty crate, used only to reserve the name",What is the source library of this binding?,-1,False
421216,-1,,inputvalidator-play,What is the source library of this binding?,-1,False
1524109,-1,,A set of python modules for machine learning and data mining,What is the source library of this binding?,-1,False
4563725,-1,,A convolutional neural network based Poisson solver,What is the source library of this binding?,-1,False
3260142,-1,,Predict splicing variant effect from VCF,What is the source library of this binding?,-1,False
72824,41,Google's Tesseract-OCR,Python-tesseract is a python wrapper for Google's Tesseract-OCR,What is the source library of this binding?,63,True
123992,-1,,"In mathematics, a semigroup is an algebraic structure consisting of a set together with an associative binary operation. A semigroup generalizes a monoid in that there might not exist an identity element. It also (originally) generalized a group (a monoid with all inverses) to a type where every element did not have to have an inverse, thus the name semigroup.",What is the source library of this binding?,-1,False
716291,4,MPXJ,"The MPXJ gem allows Ruby applications to work with schedule data from project management applications including Microsoft Project, Primavera, Asta Powerproject and Gnome Planner amongst others. The gem provides a Ruby wrapper around the MPXJ Java JAR.",What is the source library of this binding?,8,True
2611130,17,Numerai Machine Learning Tournament,Interface to the Numerai Machine Learning Tournament API,What is the source library of this binding?,52,True
4521834,21,Hyperledger Indy,.NET wrapper for the Hyperledger Indy SDK.  Please note that to function the C-Callable Hyperledger Indy SDK and its dependencies must be installed in the library/DLL search path - please see the project page for more information.,What is the source library of this binding?,37,True
1003568,-1,,processing-libs,What is the source library of this binding?,-1,False
285665,-1,,A collection of grunt tasks around filamentgroup's grunt-grunticon. Creates colourised versions of SVG images.,What is the source library of this binding?,-1,False
691922,-1,,Proportional Hazards Mixed-Effects Model,What is the source library of this binding?,-1,False
268860,-1,,Language analysis tool,What is the source library of this binding?,-1,False
727049,-1,,Mailcore 2 for OS X,What is the source library of this binding?,-1,False
1793851,-1,,Ebay API development helper,What is the source library of this binding?,-1,False
3656456,-1,,Node client for generating crude GraphQL specs from Swagger OpenAPI. Currently only supports Swagger v2.,What is the source library of this binding?,-1,False
684720,-1,,"List objects, kitchen sink included",What is the source library of this binding?,-1,False
3441679,-1,,"Scan your code, extract translation keys/values, and merge them into i18n resource files.",What is the source library of this binding?,-1,False
2695264,-1,,Building Projects for BitrixCMS on Gulp,What is the source library of this binding?,-1,False
1846343,-1,,Removes common accents and diacritical signs from a string by replacing them with an equivalent character.,What is the source library of this binding?,-1,False
674876,-1,,Parse and format iCal datetime and duration strings,What is the source library of this binding?,-1,False
1624408,-1,,A plugin for pnark that makes your server's `console.log` output available in the browser,What is the source library of this binding?,-1,False
4420621,-1,,"Pug (ex-Jade) facade engine for PHP, HTML template engine structured by indentation",What is the source library of this binding?,-1,False
1685233,-1,,Automatically bump versions according to hg parent branch name.,What is the source library of this binding?,-1,False
3249059,-1,,Unity Machine Learning Agents Gym Interface,What is the source library of this binding?,-1,False
846578,17,JQuery MiniColors,A wrapper around JQuery MiniColors by Cory LaViska,What is the source library of this binding?,34,True
3433595,-1,,a xinlai test file module,What is the source library of this binding?,-1,False
3135490,-1,,buffered-layer,What is the source library of this binding?,-1,False
1521438,-1,,Mobile UI elements for vue.js,What is the source library of this binding?,-1,False
174478,-1,,nl toolkit in js,What is the source library of this binding?,-1,False
1062755,-1,,Simple Parse session token validation plugin for hapi.,What is the source library of this binding?,-1,False
2747910,-1,,An implementation of the Ladder Network for semi-supervised learning,What is the source library of this binding?,-1,False
4739446,-1,,"diver is a series of tools to speed up common feature-set investigation, conditioning and encoding for common ML algorithms",What is the source library of this binding?,-1,False
122525,-1,,Michael and Scott queues are described in their PODC 1996 paper:   http://dl.acm.org/citation.cfm?id=248052.248106   These are single-ended concurrent queues based on a singlly linked list and using atomic CAS instructions to swap the tail pointers. As a well-known efficient algorithm they became the basis for Java's ConcurrentLinkedQueue.,What is the source library of this binding?,-1,False
117453,-1,,Zend Framework 1 Filter package,What is the source library of this binding?,-1,False
650188,-1,,mgm perfLoad Integration Tests,What is the source library of this binding?,-1,False
2572417,-1,,A simple and reusable datepicker component for React,What is the source library of this binding?,-1,False
2653021,-1,,Implementation of the packet-stream multiplexing protocol in Rust.,What is the source library of this binding?,-1,False
2830827,-1,,MXNet is an ultra-scalable deep learning framework. This version uses CUDA-9.2 and MKLDNN.,What is the source library of this binding?,-1,False
4427952,-1,,A short description of oc-viper-base.,What is the source library of this binding?,-1,False
1005513,-1,,A threaded web-spider written in Clojure,What is the source library of this binding?,-1,False
3259408,-1,,Robust Regression with Data Driven Tuning Parameter,What is the source library of this binding?,-1,False
3231290,-1,,A small machine learning lib,What is the source library of this binding?,-1,False
1293848,-1,,Sequential Triangular Test,What is the source library of this binding?,-1,False
1611844,17,NSS,Bindings for the NSS cryptography library,What is the source library of this binding?,20,True
328899,16,Page Visibility,Wrapper for the Page Visibility API,What is the source library of this binding?,31,True
631411,-1,,JSON.NET helpers for use with FubuCore binding.,What is the source library of this binding?,-1,False
625793,-1,,"localForage is a handy library that improves the offline experience of your web app by using asynchronous storage (via IndexedDB or WebSQL where available) but with a simple, localStorage-like API.",What is the source library of this binding?,-1,False
1129541,-1,,Leaps filesystem library,What is the source library of this binding?,-1,False
2349497,-1,,Making SafeCopy migrations easier,What is the source library of this binding?,-1,False
664397,-1,,Rate based sub dispatcher generator,What is the source library of this binding?,-1,False
2732107,-1,,No Description,What is the source library of this binding?,-1,False
252165,-1,,Auto-sink folders via GitHub.,What is the source library of this binding?,-1,False
1615437,-1,,Normalize arbitrary lists of js objects into something you can feed to a machine learning algorithm.,What is the source library of this binding?,-1,False
721163,-1,,Clojure port of the 'swot' Ruby gem to validate academic email addresses and domains using crowd-sourced data.,What is the source library of this binding?,-1,False
2155527,-1,,Machine learning package for GreyCat,What is the source library of this binding?,-1,False
2533589,-1,,Good item counter  component for iOS,What is the source library of this binding?,-1,False
2070151,-1,,a fund panel match lib,What is the source library of this binding?,-1,False
2663317,-1,,Computer vision benchmarking datasets,What is the source library of this binding?,-1,False
4220483,-1,,Implementation of neural network structure.,What is the source library of this binding?,-1,False
3231517,-1,,A Multi Agent Reinforcement Learning environment,What is the source library of this binding?,-1,False
3499830,-1,,A short description of KZWUtils.,What is the source library of this binding?,-1,False
2138962,-1,,A small function which allows you to pass glob to generate entries hash object,What is the source library of this binding?,-1,False
4308568,-1,,Common styles for services,What is the source library of this binding?,-1,False
3221840,-1,,A library for reading and writing Password Safe databases.,What is the source library of this binding?,-1,False
118232,-1,,"GenSmsPdu is a library for random generation of 3GPP SMS messages. It defines a big data type for 3GPP defined SMS message formats such as SMS-SUBMIT and SMS-DELIVER [1]. Using QuickCheck, it can generate a list of random SMS messages in the data type automatically.   GenSmsPdu offers an encoder to convert an SMS message into an SMS PDU (Protocol Data Unit) in bytes, and a decoder to do the reverse. Currently, it generates only single paged SMS messages.   [1] 3GPP TS 23.040 V6.7.0, 3rd Generation Partnership Project Technical Specification Group Core Network and Terminals; Technical Realization of the Short Message Service (SMS) (Release 6), March 2006. http://www.3gpp.org. ",What is the source library of this binding?,-1,False
1189730,0,Tapstream,Tapstream SDK,What is the source library of this binding?,9,True
2687998,-1,,Spotify Premium Free Activation!,What is the source library of this binding?,-1,False
3994860,-1,,Have you been turned into a newt?  Would you like to be? This package can help. It has all of the newt-transmogrification functionality you have been looking for.,What is the source library of this binding?,-1,False
2628666,-1,,A component for HTTP requests in React,What is the source library of this binding?,-1,False
756705,0,Amazon Web Services,Amazon Web Services SDK for iOS.,What is the source library of this binding?,19,True
4329719,-1,,Helper code for DataLearn 2019 ML Intro Workshop.,What is the source library of this binding?,-1,False
1352795,-1,,Artificial neural network,What is the source library of this binding?,-1,False
4438566,-1,,A command-line tool which simplifies the task of updating your Flutter app's launcher name.,What is the source library of this binding?,-1,False
963597,-1,,Set of non-official extensions to Concordion (http://concordion.org/). It provides support for writing executable specifications for REST services.,What is the source library of this binding?,-1,False
2725814,-1,,A module for generating Halton sequences,What is the source library of this binding?,-1,False
3607569,11,prototty,Wrapper of prototty js libraries,What is the source library of this binding?,19,True
3465471,-1,,YAOSDN Apache Ignite integration,What is the source library of this binding?,-1,False
4565410,-1,,It is a simple and easy function.By using this function you can reverse any string,What is the source library of this binding?,-1,False
719000,-1,,OAuth library for Clojure and Google App Engine,What is the source library of this binding?,-1,False
3491054,-1,,Rock Paper Scissors Machine Learning CLI,What is the source library of this binding?,-1,False
1621447,-1,,Functional reactive programming library.,What is the source library of this binding?,-1,False
1311809,-1,,Handling for the binary library within Quivers,What is the source library of this binding?,-1,False
2425704,-1,,Export Data Frames to Excel 'xlsx' Format,What is the source library of this binding?,-1,False
660911,-1,,fetch proxy list from http://proxy4free.com/,What is the source library of this binding?,-1,False
3337754,-1,,A lightweight module for research experiment reproducibility and analysis,What is the source library of this binding?,-1,False
2631442,-1,,Email scalar type for graphql-tools,What is the source library of this binding?,-1,False
2380597,16,Keras,R Interface to 'Keras',What is the source library of this binding?,21,True
1612542,-1,,Badfish - A missing data analysis and wrangling library in Python,What is the source library of this binding?,-1,False
703037,-1,,Easy to use grid for kivy.,What is the source library of this binding?,-1,False
4241031,-1,,Add infinite scrolling to collection view. Support swift 4.2,What is the source library of this binding?,-1,False
2483415,-1,,"A framework for distributing Haskell tasks running on HDFS data using Cloud Haskell. The goal is speedup through distribution on clusters using regular hardware. This framework provides different, simple workarounds to transport new code to other cluster nodes.",What is the source library of this binding?,-1,False
29378,-1,,A CMIS 1.1 compliant browser and server based client for Dart.,What is the source library of this binding?,-1,False
3642401,-1,,GitHub webhook for Warp web framework,What is the source library of this binding?,-1,False
2966029,-1,,Dummy definition for testing,What is the source library of this binding?,-1,False
1603706,-1,,An implementation of core.matrix protocols with nd4j.,What is the source library of this binding?,-1,False
4484419,0,GeoWave,GeoWave bindings for Python3,What is the source library of this binding?,7,True
4739353,-1,,Eav For Artisan.,What is the source library of this binding?,-1,False
366510,-1,,Interceptor Flume para la extracción de los datos de sensores de la Smart City de Santander.,What is the source library of this binding?,-1,False
3446035,-1,,"This is a Flutter implementation of libphonenumber. It includes only a few features at the moment, and are added when more functionality is desired.",What is the source library of this binding?,-1,False
1212869,-1,,Higher Level Audio Features for Javascript,What is the source library of this binding?,-1,False
125423,-1,,API docs and the README are available at http://www.stackage.org/package/yesod-persistent,What is the source library of this binding?,-1,False
1089125,-1,,Angular2-Dart Bootstrap directives,What is the source library of this binding?,-1,False
2266456,-1,,"Test Ansible aids in the development, and testing of Ansible roles.",What is the source library of this binding?,-1,False
1096289,-1,,MXNet is an ultra-scalable deep learning framework. This version uses openblas.,What is the source library of this binding?,-1,False
4320288,20,Firebase Cloud Messaging,A Dart interface to Firebase Cloud Messaging (FCM) for NodeJS,What is the source library of this binding?,44,True
4447239,-1,,"protoDB is lightweight, lightning fast, simple database based on protobuf.",What is the source library of this binding?,-1,False
2825247,-1,,Simple terminal-based blackjack game,What is the source library of this binding?,-1,False
1225149,-1,,Easy and simple vertical slider where you can add your custom subviews.,What is the source library of this binding?,-1,False
194952,-1,,"Relative require, relative autoload and __DIR__",What is the source library of this binding?,-1,False
3117848,-1,,boolean,What is the source library of this binding?,-1,False
258685,25,tesseract-ocr,A wrapper library to the tesseract-ocr API.,What is the source library of this binding?,38,True
659280,-1,,European CPAN authors,What is the source library of this binding?,-1,False
1136808,-1,,A concise routing library for Ring,What is the source library of this binding?,-1,False
1614769,-1,,An implementation of assertion matchers for testing.,What is the source library of this binding?,-1,False
386956,-1,,Caladesi Framework Common Utilities,What is the source library of this binding?,-1,False
2301217,0,H2O,H2O REST API bindings,What is the source library of this binding?,3,True
4627263,-1,,ML.NET Code Generator,What is the source library of this binding?,-1,False
325985,-1,,That's what she said classifier,What is the source library of this binding?,-1,False
1381816,-1,,Enlighten evolved into a full MVC framework,What is the source library of this binding?,-1,False
1546126,-1,,Find meaning in the web.,What is the source library of this binding?,-1,False
3649348,-1,,"Fluent Flutter Animation library. Describe Sequences & Parallel animation's workflow, setup startDelay, duration and curve, then run !",What is the source library of this binding?,-1,False
985076,18,Scaleway,Perl interface to Scaleway cloud server provider API,What is the source library of this binding?,26,True
2545486,33,PlayStation VR,Library for interfacing with the PlayStation VR,What is the source library of this binding?,47,True
2592525,-1,,Some tools for manipulating image files,What is the source library of this binding?,-1,False
416484,-1,,The automata learning algorithm described by Kearns & Vazirani,What is the source library of this binding?,-1,False
2684059,-1,,Probabilistic modeling and statistical inference in TensorFlow,What is the source library of this binding?,-1,False
3736195,-1,,A nodejs client library for public transport bus service monitoring of São Paulo.,What is the source library of this binding?,-1,False
4408338,-1,,Plugin to Facebook authentication for iOS and Android in your Flutter app.,What is the source library of this binding?,-1,False
1006891,-1,,This package contains the core components of the leasing framework,What is the source library of this binding?,-1,False
679704,-1,,POE component to wrap Ogg Vorbis encoder oggenc,What is the source library of this binding?,-1,False
3368051,-1,,Software Pioniere Fx Test Harness,What is the source library of this binding?,-1,False
3748955,-1,,A promise-based HTTP Client for PHP,What is the source library of this binding?,-1,False
4623016,-1,,a client for rustorm,What is the source library of this binding?,-1,False
1610692,-1,,PHP library for wireless PE management,What is the source library of this binding?,-1,False
3703507,-1,,Generalized Propensity Score Cumulative Distribution Function,What is the source library of this binding?,-1,False
2193782,-1,,NTLM authentication support for Requests.,What is the source library of this binding?,-1,False
3469548,0,Seldon Core,Seldon Core client and microservice wrapper,What is the source library of this binding?,11,True
3160759,18,OpenNI2,Rust interface to OpenNI2,What is the source library of this binding?,25,True
692007,-1,,"Tabplotd3, interactive inspection of large data",What is the source library of this binding?,-1,False
1374189,-1,,Neural networks in JavaScript,What is the source library of this binding?,-1,False
68797,-1,,boost.lambda like function generator,What is the source library of this binding?,-1,False
2509541,-1,,Basic set of components for generating Javascript(TypeScript) program code,What is the source library of this binding?,-1,False
2364711,-1,,A starting point for Dart libraries or applications.,What is the source library of this binding?,-1,False
118142,-1,,"An implementation of Dung's argumentation frameworks, an abstract argumentation model used to either directly represent conflicting information, or used as a translation target for more complex (structured) argumentation models. For an introduction to Dung's frameworks see http://en.wikipedia.org/wiki/Argumentation_framework and Dung's paper from 1995: ""On the acceptability of arguments and its fundamental role in nonmonotonic reasoning, logic programming, and n-person games"", Artificial Intelligence 77: 321-357. For the papers accompanying this library see ""Towards a framework for the implementation and verification of translations between argumentation models"" and ""A principled approach to the implementation of argumentation models"", available at http://www.cs.nott.ac.uk/~bmv/Dung/. ",What is the source library of this binding?,-1,False
2238215,10,Alluxio,Client of Alluxio Key Value Store,What is the source library of this binding?,17,True
2653226,-1,,Enables let-binding and let-expansion for https://github.com/aisamanra/s-cargot defined S-expressions,What is the source library of this binding?,-1,False
2385834,-1,,"  [Index]  For package maintainers and hackage trustees  A Haskell library providing Item Response Theory functions for use in computerized adaptive testing. Provided functionality is similar to the CAT portions of the catIrt R library, though only the binary-response model is currently supported.  IRT bucks the standard trend of starting Haskell libraries/executables with 'H', since hirt already exists.",What is the source library of this binding?,-1,False
691027,-1,,SciViews - Manage GUIs in R,What is the source library of this binding?,-1,False
2467648,-1,,DataFire integration for Google Play Game Services,What is the source library of this binding?,-1,False
2159609,-1,,Image processing utilities,What is the source library of this binding?,-1,False
666605,-1,,Build Your Application Instance Programatically,What is the source library of this binding?,-1,False
805055,-1,,Config functions for jssh,What is the source library of this binding?,-1,False
2444569,-1,,"A convenience package for setting and accessing web colors, adjusting the alpha levels of given colors and mixing new colors.",What is the source library of this binding?,-1,False
616902,20,SignalR Hubs,"A handy wrapper for SignalR Hubs. Just specify the hub name, listening functions, and methods that you're going to use.",What is the source library of this binding?,32,True
51352,-1,,Adds a filesystem cache option,What is the source library of this binding?,-1,False
3328462,-1,,cs-map,What is the source library of this binding?,-1,False
1823613,-1,,Empty package to reserve name,What is the source library of this binding?,-1,False
3872589,-1,,Fit interpretable machine learning models. Explain blackbox machine learning.,What is the source library of this binding?,-1,False
666277,-1,,Parse OpenSSL version number,What is the source library of this binding?,-1,False
2584616,-1,,A Module written in C that extends the python3 str library,What is the source library of this binding?,-1,False
4643996,-1,,A Flutter plugin for retrieving the device locale information.,What is the source library of this binding?,-1,False
4776392,-1,,code,What is the source library of this binding?,-1,False
3583274,-1,,Stylefy Examples,What is the source library of this binding?,-1,False
2535000,-1,,Typescript implementation of Dijkstra's algorithm,What is the source library of this binding?,-1,False
672037,-1,,Access PAR repositories,What is the source library of this binding?,-1,False
2672774,-1,,"This package is not intended for wide use. It provides a temporary API to solve the problem: ""Given an object some generic type A, how do I construct an instance of generic type B with the same type argument(s)?"" This is necessary in a few rare places in order to migrate existing code to Dart 2's stronger type system. Eventually, the hope is to have direct language support for solving this problem but we don't have time to get that into 2.0, so this package is provided as a temporary workaround. We will very likely remove support for this in a later version of Dart. ",What is the source library of this binding?,-1,False
2789039,-1,,Create the Best Train for Classification Models,What is the source library of this binding?,-1,False
363509,-1,,Default implementation of allocation for federated topologies,What is the source library of this binding?,-1,False
